Country,GDP_USD_billion
United States,32383.92
China[n 1],20851.59
Germany,5452.86
Japan,4379.25
United Kingdom,4264.79
India,4153.19
France,3596.09
Italy,2738.16
Russia,2656.45
Brazil,2635.91
Canada,2507.34
Australia,2123.96
Mexico,2120.86
Spain,2091.22
South Korea,1931.01
Turkey,1640.22
Indonesia,1539.87
Netherlands,1449.7
Saudi Arabia,1388.68
Switzerland,1146.91
Poland,1134.25
Taiwan[n 3],976.72
Ireland,779.38
Belgium,776.73
Sweden,760.48
Israel,719.85
Argentina,688.38
Singapore,659.57
Austria,623.72
United Arab Emirates,621.55
Norway,599.41
Thailand,580.0
Colombia,539.53
Vietnam,527.27
Malaysia,516.43
Philippines,512.22
Bangladesh,510.7
Denmark,503.77
Romania,480.83
South Africa,479.96
Pakistan,452.19
Hong Kong[n 4],450.14
Czech Republic,432.6
Egypt,429.64
Chile,407.85
Peru,380.9
Portugal,380.64
Nigeria,377.36
Kazakhstan,360.46
Finland,337.67
Algeria,317.17
Greece,307.55
Iran,300.29
New Zealand,278.64
Hungary,271.12
Iraq,264.78
Ukraine[n 5],225.34
Qatar,217.42
Morocco,194.33
Uzbekistan,181.5
Kuwait,172.92
Slovakia,168.9
Angola,152.35
Bulgaria,148.12
Kenya,147.26
Ecuador,138.19
Dominican Republic,136.15
Puerto Rico,129.01
Guatemala,128.89
DR Congo,123.41
Ethiopia,121.53
Ghana,118.29
Oman,117.18
Croatia,116.57
Ivory Coast,112.12
Serbia,112.02
Venezuela,111.3
Luxembourg,110.42
Costa Rica,109.93
Lithuania,105.91
Belarus,102.04
Uruguay,96.09
Panama,95.02
Tanzania[n 6],94.89
Slovenia,86.73
Myanmar,83.83
Turkmenistan,83.06
Bolivia,80.74
Azerbaijan,78.37
Uganda,73.37
Cameroon,65.14
Jordan,64.91
Tunisia,60.74
Paraguay,60.54
Zimbabwe,56.71
Macau[n 7],54.23
Latvia,53.69
Libya,52.45
Cambodia,52.38
Estonia,51.63
Bahrain,48.85
Nepal,45.84
Cyprus[n 8],45.17
Sudan,44.69
Iceland,43.8
Georgia[n 9],42.72
Honduras,41.5
Zambia,41.24
Senegal,40.47
El Salvador,39.84
Haiti,39.18
Bosnia and Herzegovina,36.77
Papua New Guinea,34.4
Guyana,33.96
Mali,33.85
Albania,33.33
Burkina Faso,32.51
Armenia,31.87
Malta,30.71
Guinea,29.93
Mongolia,28.45
Benin,27.79
Trinidad and Tobago,26.84
Chad,25.63
Niger,24.81
Nicaragua,24.23
Kyrgyzstan,23.61
Gabon,23.36
Mozambique,23.28
Jamaica,23.03
Botswana,21.94
Moldova[n 10],21.89
North Macedonia,21.6
Madagascar,21.18
Tajikistan,20.42
Laos,18.96
Malawi,18.15
Rwanda,17.34
Namibia,17.31
Mauritius,17.12
Bahamas,17.04
Congo,17.03
Brunei,16.86
Mauritania,14.35
Somalia,14.17
Kosovo,14.05
Equatorial Guinea,13.72
Togo,13.44
Montenegro,10.23
Liechtenstein,9.44
Barbados,8.48
Sierra Leone,8.27
Burundi,8.14
Maldives,8.13
Yemen,7.44
Fiji,6.35
South Sudan,6.07
Suriname,5.91
Eswatini,5.79
Liberia,5.64
Andorra,4.88
Djibouti,4.72
Aruba,4.67
Bhutan,3.86
Central African Republic,3.49
Belize,3.45
Cape Verde,3.45
Guinea-Bissau,2.98
Lesotho,2.97
Gambia,2.79
Saint Lucia,2.76
San Marino,2.42
Antigua and Barbuda,2.38
Seychelles,2.25
Timor-Leste,2.17
Solomon Islands,1.84
Comoros,1.81
Grenada,1.48
Vanuatu,1.4
Samoa,1.38
Saint Vincent and the Grenadines,1.24
São Tomé and Príncipe,1.16
Saint Kitts and Nevis,1.14
Dominica,0.79
Tonga,0.72
Federated States of Micronesia,0.52
Kiribati,0.4
Palau,0.38
Marshall Islands,0.34
Nauru,0.2
Tuvalu,0.06
